strain	Sample_ID	Sample_Source	Data_Source	date	Location	Region	Serotype	Sero_Geno	Lineage
MH382789.1	PNG 2016a	Pyke_2018	NCBI	2016-XX-XX	Australia	Pacific	4	4_II_related	4II_A
DENV4/Bolivia/2014-03-13/Yale-DN00342-1	190515	FL-DPH	Yale	2014-03-13	Bolivia	South-America	4	4_II	4II_B
OK040058.1	KAJP29_DENV1_Borneo_South.East.Asia_2017	Alfsnes_2021	NCBI	2017-XX-XX	Borneo	Southeast-Asia	4	4_II_related	4II_A.1
OK605599.1	DKE-121	Chen_2021	NCBI	2007-XX-XX	Borneo	Southeast-Asia	4	4_IV_related	Unassigned
JN559740.2	DENV-4/ROR82	Nunes_2011	NCBI	1982-03-26	Brazil	South-America	4	4_II	4II_B
JN559741.2	DENV-4/ROR7365	Nunes_2011	NCBI	2010-07-21	Brazil	South-America	4	4_II	4II_B
JN983813.1	Br246RR/10	Naveca_2012	NCBI	2010-09-08	Brazil	South-America	4	4_II	4II_B
JQ513330.1	DENV-4/ROR7357	Nunes_2012	NCBI	2010-07-17	Brazil	South-America	4	4_II	4II_B
JQ513331.1	DENV-4/ROR7363	Nunes_2012	NCBI	2010-07-18	Brazil	South-America	4	4_II	4II_B
JQ513332.1	DENV-4/ROR7465	Nunes_2012	NCBI	2010-08-20	Brazil	South-America	4	4_II	4II_B
JQ513333.1	DENV-4/ROR7542	Nunes_2012	NCBI	2010-08-24	Brazil	South-America	4	4_II	4II_B
JQ513334.1	DENV-4/STN31	Nunes_2012	NCBI	2010-11-10	Brazil	South-America	4	4_II	4II_B
JQ513335.1	DENV-4/BEL83791	Nunes_2012	NCBI	2011-01-12	Brazil	South-America	4	4_II	4II_B
JQ513336.1	DENV-4/BEL83804	Nunes_2012	NCBI	2011-01-11	Brazil	South-America	4	4_II	4II_B
JQ513337.1	DENV-4/BEL83846	Nunes_2012	NCBI	2011-01-20	Brazil	South-America	4	4_II	4II_B
JQ513338.1	DENV-4/AM4963	Nunes_2012	NCBI	2011-01-14	Brazil	South-America	4	4_II	4II_B
JQ513339.1	DENV-4/AM5079	Nunes_2012	NCBI	2011-01-24	Brazil	South-America	4	4_II	4II_B
JQ513340.1	DENV-4/ROR7591	Nunes_2012	NCBI	2010-11-29	Brazil	South-America	4	4_II	4II_B
JQ513341.1	DENV-4/ROR7620	Nunes_2012	NCBI	2010-11-21	Brazil	South-America	4	4_II	4II_B
JQ513342.1	DENV-4/AM5090	Nunes_2012	NCBI	2011-01-29	Brazil	South-America	4	4_II	4II_B
JQ513343.1	DENV-4/AM5097	Nunes_2012	NCBI	2011-01-29	Brazil	South-America	4	4_II	4II_B
JQ513344.1	DENV-4/AM5105	Nunes_2012	NCBI	2011-01-13	Brazil	South-America	4	4_II	4II_B
JQ513345.1	DENV-4/BHI3581	Nunes_2012	NCBI	2011-03-18	Brazil	South-America	4	4_I	4I_A
KJ579240.1	serum_2	Zuchi_2015	NCBI	2012-04-23	Brazil	South-America	4	4_II	4II_B
KJ579241.1	serum_8	Zuchi_2015	NCBI	2012-04-23	Brazil	South-America	4	4_II	4II_B
KJ579242.1	serum_9	Zuchi_2015	NCBI	2012-04-18	Brazil	South-America	4	4_II	4II_B
KJ579243.1	serum_12	Zuchi_2015	NCBI	2012-03-28	Brazil	South-America	4	4_II	4II_B
KJ579244.1	serum_20	Zuchi_2015	NCBI	2012-03-30	Brazil	South-America	4	4_II	4II_B
KJ579245.1	serum_23	Zuchi_2015	NCBI	2012-03-30	Brazil	South-America	4	4_II	4II_B
KJ579246.1	serum_24	Zuchi_2015	NCBI	2012-04-19	Brazil	South-America	4	4_II	4II_B
KJ579247.1	serum_27	Zuchi_2015	NCBI	2012-04-12	Brazil	South-America	4	4_II	4II_B
KJ579248.1	serum_28	Zuchi_2015	NCBI	2012-04-19	Brazil	South-America	4	4_II	4II_B
KJ596658.1	serum_33	Zuchi_2015	NCBI	2012-04-20	Brazil	South-America	4	4_II	4II_B
KJ596659.1	serum_35	Zuchi_2015	NCBI	2012-03-30	Brazil	South-America	4	4_II	4II_B
KJ596660.1	serum_40	Zuchi_2015	NCBI	2012-04-03	Brazil	South-America	4	4_II	4II_B
KJ596661.1	serum_44	Zuchi_2015	NCBI	2012-04-05	Brazil	South-America	4	4_II	4II_B
KJ596662.1	serum_47	Zuchi_2015	NCBI	2012-03-23	Brazil	South-America	4	4_II	4II_B
KJ596663.1	serum_48	Zuchi_2015	NCBI	2012-03-21	Brazil	South-America	4	4_II	4II_B
KJ596664.1	serum_50	Zuchi_2015	NCBI	2012-03-12	Brazil	South-America	4	4_II	4II_B
KJ596665.1	serum_52	Zuchi_2015	NCBI	2012-03-20	Brazil	South-America	4	4_II	4II_B
KJ596666.1	serum_53	Zuchi_2015	NCBI	2012-03-14	Brazil	South-America	4	4_II	4II_B
KJ596667.1	serum_55	Zuchi_2015	NCBI	2012-03-14	Brazil	South-America	4	4_II	4II_B
KJ596668.1	serum_60	Zuchi_2015	NCBI	2012-03-14	Brazil	South-America	4	4_II	4II_B
KJ596669.1	serum_73	Zuchi_2015	NCBI	2012-04-19	Brazil	South-America	4	4_II	4II_B
KJ596670.1	serum_76	Zuchi_2015	NCBI	2012-04-19	Brazil	South-America	4	4_II	4II_B
KJ596671.1	serum_84	Zuchi_2015	NCBI	2012-02-03	Brazil	South-America	4	4_II	4II_B
KJ596672.1	serum_91	Zuchi_2015	NCBI	2012-02-03	Brazil	South-America	4	4_II	4II_B
KJ596673.1	serum_92	Zuchi_2015	NCBI	2012-02-29	Brazil	South-America	4	4_II	4II_B
KJ596674.1	serum_94	Zuchi_2015	NCBI	2012-02-16	Brazil	South-America	4	4_II	4II_B
KP188557.1	BR/SJRP/500/2012	Vedovello_2016	NCBI	2012-03-09	Brazil	South-America	4	4_II	4II_B
KP188558.1	BR/SJRP/505/2012	Vedovello_2016	NCBI	2012-03-14	Brazil	South-America	4	4_II	4II_B
KP188559.1	BR/SJRP/506/2012	Vedovello_2016	NCBI	2012-03-16	Brazil	South-America	4	4_II	4II_B
KP188560.1	BR/SJRP/514/2012	Vedovello_2016	NCBI	2012-04-02	Brazil	South-America	4	4_II	4II_B
KP188561.1	BR/SJRP/556/2012	Vedovello_2016	NCBI	2012-07-11	Brazil	South-America	4	4_II	4II_B
KP188562.1	BR/SJRP/580/2012	Vedovello_2016	NCBI	2012-12-10	Brazil	South-America	4	4_II	4II_B
KP188563.1	BR/SJRP/610/2013	Vedovello_2016	NCBI	2013-01-07	Brazil	South-America	4	4_II	4II_B
KP188564.1	BR/SJRP/614/2013	Vedovello_2016	NCBI	2013-01-10	Brazil	South-America	4	4_II	4II_B
KP188565.1	BR/SJRP/733/2013	Vedovello_2016	NCBI	2013-01-30	Brazil	South-America	4	4_II	4II_B
KP188566.1	BR/SJRP/850/2013	Vedovello_2016	NCBI	2013-02-08	Brazil	South-America	4	4_II	4II_B
KT794007.1	BR005AM_2011	Nascimento_2016	NCBI	2011-03-07	Brazil	South-America	4	4_II	4II_B
KU513441.1	LRV13/422	Kuczera_2016	NCBI	2013-03-XX	Brazil	South-America	4	4_II	4II_B
KU513442.1	TVP/360	Kuczera_2016	NCBI	2013-03-XX	Brazil	South-America	4	4_II	4II_B
KY369950.1	GU11/2013/BR	Ortiz-Baez_2017	NCBI	2013-02-XX	Brazil	South-America	4	4_II	4II_B
KY369951.1	GU145/2013/BR	Ortiz-Baez_2017	NCBI	2013-02-XX	Brazil	South-America	4	4_II	4II_B
MW945519.1	BR-12	Katzelnick_2021	NCBI	2012-XX-XX	Brazil	South-America	4	4_II	4II_B
MW945641.1	BR-2	Katzelnick_2021	NCBI	2012-XX-XX	Brazil	South-America	4	4_II	4II_B
MW945740.1	BR-23	Katzelnick_2021	NCBI	2012-XX-XX	Brazil	South-America	4	4_II	4II_B
OK605768.1	DENV4-2_BE_H_403714	Tamura_2022	NCBI	1982-XX-XX	Brazil	South-America	4	4_II	4II_B
OM641997.1	SPH329894	Ponce_2022	NCBI	2012-06-01	Brazil	South-America	4	4_II	4II_B
DH149_AMPL	V0624301-AC_33	Ott_2021	Yale	2011-XX-XX	Cambodia	Southeast-Asia	4	4_I	4I_A.2
JN638570.1	DF-patient	Tuiskunen_2013	NCBI	2008-XX-XX	Cambodia	Southeast-Asia	4	4_I	4I_A.2
JN638571.1	DHF-patient	Tuiskunen_2013	NCBI	2007-XX-XX	Cambodia	Southeast-Asia	4	4_I	4I_A.2
JN638572.1	DSS-patient	Tuiskunen_2013	NCBI	2008-XX-XX	Cambodia	Southeast-Asia	4	4_I	4I_A.2
KF955510.1	DENV-4/KH/BID-V2055/2002	Zody_2014	NCBI	2002-XX-XX	Cambodia	Southeast-Asia	4	4_I	4I_A
KF955528.1	DENV-4/KH/BID-V3836/2007	Zody_2014	NCBI	2007-XX-XX	Cambodia	Southeast-Asia	4	4_I	4I_A.2
MZ976858.1	100-156	Brook_2021	NCBI	2019-07-07	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
MZ976859.1	109-0051	Brook_2021	NCBI	2019-08-07	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
MZ976860.1	109-0342	Brook_2021	NCBI	2020-08-03	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
ON891141.1	18XN13312_D4_KHM	Su_2022	NCBI	2018-05-17	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
ON891143.1	18XN16107_D4_KHM	Su_2022	NCBI	2018-06-16	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
ON908241.1	18XN13312	Su_2022	NCBI	2018-05-17	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
ON908242.1	18XN16107	Su_2022	NCBI	2018-06-16	Cambodia	Southeast-Asia	4	4_I	4I_A.1.1
