strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
JN819418	Dengue virus 2	JN819418	1988-XX-XX	Southeastern Asia	VNM	Viet Nam			complete	10576.0	Homo sapiens	
FJ898461	Dengue virus 	FJ898461	2002-XX-XX	Central America	BLZ	Belize			complete	10679.0	Homo sapiens	
JX051802	Dengue virus 	JX051802	2007-XX-XX	Western South America	BOL	Bolivia	BOL/Santa Cruz		partial	1485.0	Homo sapiens	
JX051801	Dengue virus 	JX051801	2003-XX-XX	Western South America	BOL	Bolivia	BOL/Santa Cruz		partial	1485.0	Homo sapiens	
JX051804	Dengue virus 	JX051804	2007-XX-XX	Western South America	BOL	Bolivia	BOL/Santa Cruz		partial	1485.0	Homo sapiens	
JX051805	Dengue virus 	JX051805	2007-XX-XX	Western South America	BOL	Bolivia	BOL/Santa Cruz		partial	1485.0	Homo sapiens	
JX051811	Dengue virus 	JX051811	2010-XX-XX	Western South America	BOL	Bolivia	BOL/Beni		partial	1485.0	Homo sapiens	
JX051810	Dengue virus 	JX051810	2010-XX-XX	Western South America	BOL	Bolivia	BOL/Beni		partial	1485.0	Homo sapiens	
JX051803	Dengue virus 	JX051803	2007-XX-XX	Western South America	BOL	Bolivia	BOL/Santa Cruz		partial	1485.0	Homo sapiens	
JX051808	Dengue virus 	JX051808	2006-XX-XX	Western South America	BOL	Bolivia	BOL/Santa Cruz		partial	1485.0	Homo sapiens	
JX051807	Dengue virus 	JX051807	2010-XX-XX	Western South America	BOL	Bolivia	BOL/Beni		partial	1485.0	Homo sapiens	
JX051806	Dengue virus 	JX051806	2007-XX-XX	Western South America	BOL	Bolivia	BOL/Beni		partial	1485.0	Homo sapiens	
JX051809	Dengue virus 	JX051809	2007-XX-XX	Western South America	BOL	Bolivia	BOL/Beni		partial	1485.0	Homo sapiens	
GQ868550	Dengue virus 	GQ868550	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10669.0	Homo sapiens	
MN589861	Dengue virus Asian/American	MN589861	2008-03-17	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589862	Dengue virus Asian/American	MN589862	2008-03-13	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589860	Dengue virus Asian/American	MN589860	2007-12-20	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
HQ012535	Dengue virus 2	HQ012535	1994-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10173.0	Homo sapiens	
GQ868640	Dengue virus 	GQ868640	2003-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10667.0	Homo sapiens	
MN589859	Dengue virus Asian/American	MN589859	2007-11-22	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
GQ868551	Dengue virus 	GQ868551	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10639.0	Homo sapiens	
GQ868549	Dengue virus 	GQ868549	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10678.0	Homo sapiens	
GQ368171	Dengue virus 2	GQ368171	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MN589864	Dengue virus Asian/American	MN589864	2008-03-17	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
KP188549	Dengue virus 2	KP188549	2006-05-26	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10783.0	Homo sapiens	
MN589870	Dengue virus Asian/American	MN589870	2010-07-01	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589869	Dengue virus Asian/American	MN589869	2010-03-09	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589868	Dengue virus Asian/American	MN589868	2010-03-09	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589867	Dengue virus Asian/American	MN589867	2010-04-29	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
GU131864	Dengue virus 	GU131864	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10531.0	Homo sapiens	
GU131879	Dengue virus 	GU131879	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10639.0	Homo sapiens	
GU131880	Dengue virus 	GU131880	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10531.0	Homo sapiens	
GU131881	Dengue virus 	GU131881	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10531.0	Homo sapiens	
GU131882	Dengue virus 	GU131882	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10644.0	Homo sapiens	
GU131883	Dengue virus 	GU131883	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10678.0	Homo sapiens	
GU131884	Dengue virus 	GU131884	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10665.0	Homo sapiens	
GU131885	Dengue virus 	GU131885	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10677.0	Homo sapiens	
JX286521	Dengue virus 2	JX286521	2010-05-04	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10597.0	Homo sapiens	
JX286520	Dengue virus 2	JX286520	2010-02-24	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10598.0	Homo sapiens	
JX286519	Dengue virus 2	JX286519	2010-05-04	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10540.0	Homo sapiens	
JX286518	Dengue virus 2	JX286518	2010-04-12	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10544.0	Homo sapiens	
JX286517	Dengue virus 2	JX286517	2010-03-01	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10539.0	Homo sapiens	
JX286516	Dengue virus 2	JX286516	2010-03-01	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Santos	complete	10542.0	Homo sapiens	
JX669488	Dengue virus 	JX669488	2002-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10724.0	Homo sapiens	
JX669487	Dengue virus 	JX669487	2000-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
JX669486	Dengue virus 	JX669486	1999-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10724.0	Homo sapiens	
MN589865	Dengue virus Asian/American	MN589865	2008-04-07	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589863	Dengue virus Asian/American	MN589863	2008-04-30	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589866	Dengue virus Asian/American	MN589866	2009-12-23	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN959484	Dengue virus 	MN959484	2017-06-07	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	9976.0	Homo sapiens	
KP188550	Dengue virus 2	KP188550	2008-06-17	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10708.0	Homo sapiens	
FJ850074	Dengue virus 	FJ850074	2001-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10678.0	Homo sapiens	
FJ850076	Dengue virus 	FJ850076	2002-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10663.0	Homo sapiens	
FJ850078	Dengue virus 	FJ850078	2003-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10667.0	Homo sapiens	
FJ850082	Dengue virus 	FJ850082	2004-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10679.0	Homo sapiens	
FJ850085	Dengue virus 	FJ850085	2005-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10677.0	Homo sapiens	
FJ850088	Dengue virus 	FJ850088	2006-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10667.0	Homo sapiens	
FJ850091	Dengue virus 	FJ850091	2007-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10678.0	Homo sapiens	
HQ012516	Dengue virus 2	HQ012516	1998-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012517	Dengue virus 2	HQ012517	1999-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012518	Dengue virus 2	HQ012518	2000-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012519	Dengue virus 2	HQ012519	2000-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012520	Dengue virus 2	HQ012520	2001-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
FJ850072	Dengue virus 	FJ850072	2000-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10677.0	Homo sapiens	
HQ012521	Dengue virus 2	HQ012521	2001-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
